,일자,시가,고가,저가,종가,전일비,등락률,거래량
101,43027,79900,81800,79000,79000,"▼1,900",-0.0235,7675978
102,43026,83200,83300,80000,80900,"▼2,600",-0.0311,9070685
103,43025,85700,86600,83500,83500,▼700,-0.0083,6802500
104,43024,86100,87100,82800,84200,"▼1,900",-0.0221,6985619
105,43021,88500,88500,85600,86100,"▼2,400",-0.0271,6101810
106,43020,89200,89900,88100,88500,▼600,-0.0067,4313702
107,43019,89900,90300,88100,89100,▲400,0.0045,5500820
108,43018,86300,90000,85300,88700,"▲5,800",0.07,7956055
109,43007,83300,84300,82200,82900,▼300,-0.0036,3579139
110,43006,84500,85500,82500,83200,▲800,0.0097,4817018
111,43005,83100,83800,81400,82400,▲300,0.0037,5029200
112,43004,84100,85100,81000,82100,"▼4,200",-0.0487,11035272
113,43003,83600,86300,83600,86300,"▲3,200",0.0385,4656285
114,43000,82900,84300,82000,83100,0,0.0,5970218
115,42999,81100,83400,80400,83100,"▲2,400",0.0297,6961713
116,42998,79300,81200,78400,80700,"▲1,500",0.0189,5268665
117,42997,80100,80500,78500,79200,▼500,-0.0063,3934389
118,42996,78200,80000,77700,79700,"▲2,500",0.0324,3638325
119,42993,76100,77500,76000,77200,▲400,0.0052,2725277
120,42992,76300,76800,75700,76800,"▲1,100",0.0145,3366621
121,42991,75000,77400,74300,75700,"▲1,000",0.0134,5682708
122,42990,74800,74900,73500,74700,▲900,0.0122,3676865
123,42989,73600,74200,73200,73800,"▲1,200",0.0165,3321612
124,42986,72000,72800,71500,72600,"▲1,200",0.0168,2868673
125,42985,71600,72800,71200,71400,▼300,-0.0042,3877849
126,42984,69900,71900,69700,71700,"▲1,800",0.0258,4476200
127,42983,68600,70100,67900,69900,"▲1,800",0.0264,4026248
128,42982,66600,68600,66600,68100,▼600,-0.0087,3234465
129,42979,69000,69200,67700,68700,▲100,0.0015,2304425
130,42978,68900,69300,68200,68600,▲100,0.0015,2054717
131,42977,68300,68900,68100,68500,▲900,0.0133,2118742
132,42976,67300,67900,66400,67600,▼300,-0.0044,2967906
133,42975,68000,68100,67100,67900,▼500,-0.0073,1843458
134,42972,68300,68400,67600,68400,▲300,0.0044,1862764
135,42971,68200,68700,67500,68100,▲100,0.0015,2333347
136,42970,69000,69000,67600,68000,▼200,-0.0029,3072911
137,42969,67400,68200,67200,68200,"▲1,000",0.0149,2208365
138,42968,67300,67800,66600,67200,▲200,0.003,2570150
139,42965,64900,67300,64800,67000,▲600,0.009,3130891
140,42964,66800,67300,66100,66400,▲300,0.0045,3709768
141,42963,67200,67300,65800,66100,"▲1,000",0.0154,4714899
142,42961,63000,65100,62300,65100,"▲3,700",0.0603,5239246
143,42958,62000,63000,61400,61400,"▼3,000",-0.0466,6664578
144,42957,63700,64600,63200,64400,▲200,0.0031,4474120
145,42956,65400,65400,64000,64200,"▼2,100",-0.0317,4037319
146,42955,64900,66400,64800,66300,"▲2,200",0.0343,4372768
147,42954,64000,65000,63700,64100,▲100,0.0016,3518575
148,42951,65100,66100,63200,64000,"▼1,500",-0.0229,5938549
149,42950,67900,67900,65200,65500,"▼2,500",-0.0368,4992104
